,ENTIDAD,OBJETIVO,IMPORTE,AÑO
0,DIPUTACIÓN FORAL Y TURKISH AIRLINES,Acciones de promoción turística,- €,2020
1,UNIVERSIDAD MONDRAGON Y BEAZ,Fintech,"60.000,00€",2020
2,CLUB BILBAO ATLETISMO SANTUTXU,Milla de Bilbao 2020,"15.000,00€",2020
3,REAL PEÑA MOTORISTA VIZCAYA,RallyStone 2020,"5.000,00€",2020
4,"ASOC. COMERCIANTES SAN FRANCISCO, BILBAO LA VIEJA  Y ZABALA",Plan de Actuación 2020,"56.000,00€",2020
5,ASOC. SENDOTU ALDI BEREAN PARA LA INCLUSION SOCIAL,Sendotu,"90.000,00€",2020
6,ASOC. SLOW FOOD CONVIVIUM BILBAO BIZKAIA,Slow Food 2020,"30.000,00€",2020
7,UTE LANHEZI,"Proyecto Singular Formación Empleo BLV, San Francisco y Zabala","58.300,00€",2020
8,UTE OTXARLAN,Proyecto Singular Formación Empleo Otxarkoaga,"100.000,00€",2020
9,ASOCIACION LOGELA MULTIMEDIA,Break on Stage 2020,"12.500,00€",2020
10,FUNDACION THE WALK ON PROJECT,WOP Festival - Estropatada,"18.500,00€",2020
11,LANBIDE-SERVICIO VASCO DE EMPLEO,Convocatoria ayudas apoyo personas emprendedoras 2019,- €,2020
12,"BILBAO EXHIBITION CENTRE, S.A.",Feria Gustoko 2020,"40.000,00€",2020
13,AREA GOBERNANZA INTERNACIONAL,Adscripción Internacional al área de Gobernanza Ayuntamiento,- €,2020
14,"ASOC. COMERCIANTES SAN FRANCISCO, BILBAO LA VIEJA  Y ZABALA",Plan de Actuación 2020,"11.000,00€",2020
15,DEUSTO BIZIRIK AGRUPACIÓN COMERCIAL,Plan de Actuación 2020,"18.000,00€",2020
16,FUNDACION ITAKA,Programa Ojalá,"18.000,00€",2020
17,DEPARTAMENTO DE TURISMO Y COMERCIO GOBIERNO VASCO,Red iTourbask,"102.000,00€",2020
18,ASOCIACION BILBAO INTERNATIONAL ART & FASHION (BIAF),"Concurso de moda ""Art & Fashion""","65.000,00€",2020
19,BILBAO DENDAK,Promoción y dinamización del comercio urbano de Bilbao 2020,"240.000,00€",2020
20,FUNDACION ADSIS,EUROCIP X,"22.834,00€",2020
21,"PEÑASCAL, S.COOP.",EUROCIP X,"10.713,00€",2020
22,ESCUELA PROFESIONAL DE OTXARKOAGA,EUROCIP X,"27.177,00€",2020
23,ASOCIACION BILBAO HISTORIKO ELKARTEA,"Proyecto ""Bilbao Historiko""","55.000,00€",2020
24,ASOCIACION CULTURAL MENDI FILM FESTIVAL ELKARTEA,Bilbao Mendi Film Festival 2020,"125.000,00€",2020
25,"CFC BILBAO, S.L.",Viernes del CFC,"10.000,00€",2020
26,"M-EVENTS, S.L.",Selected Graphic Design 2020,"30.000,00€",2020
27,"ARTHAZI, ASOC. PARA LA PROMOCION DEL ARTE CONTEMPORANEO",Feria Internacional del Grabado (FIG 2020),"40.000,00€",2020
28,ASOC. COMERCIANTES CASCO VIEJO,Plan de Actuación 2020,"59.000,00€",2020
29,FUNDACIÓN FAIR SATURDAY,Fair Saturday 2020,"80.000,00€",2020
30,AGRUPACIÓN COMERCIAL BILBAO CENTRO,Actividades 2020,"82.000,00€",2020
31,ASOCIACIÓN HACERÍA ARTEAK,Actividades de la Asociación 2020,"50.000,00€",2020
32,UNIVERSIDAD DE DEUSTO - FUNDACIÓN DEUSTO (ORKESTRA),Bilbao Next Lab 2020,"200.000,00€",2020
33,FUNDACIÓN ALDAURI,Aldauri Zabaltzen 2020,"18.000,00€",2020
34,FUNDACIÓN NOVIA SALCEDO,Bilbao Youth Employment Forum (BYEF) 2020,"10.000,00€",2020
35,FUNDACIÓN EUSKOIKER,"Motostudent - Fórmula Student ""Bisky Team (Cohete)""","20.000,00€",2020
36,"AMETIC, ASOCIACIÓN MULTISECTORIAL EMPRESAS ETICCD",Think tank sobre presente y futuro de la movilidad en Europa,"20.000,00€",2020
37,ASOC. COMERCIOS BILBAO LA VIEJA,Plan Aurrera,"11.000,00€",2020
38,ASOC. COMERCIOS CASCO VIEJO,Plan Aurrera,"59.000,00€",2020
39,AYUNTAMIENTO DE BILBAO,Plan de Empleo 2020,-€,2020
40,ASOC. COMERCIANTES MERCADO DE LA RIBERA,Plan Aurrera,"7.000,00€",2020
41,ASOC. COMERCIANTES MERCADO DE LA RIBERA,Plan de actuación 2020,"7.000,00€",2020
42,ASOC. PARA LA PROM. DE LOS BARRIOS HISTÓRICOS DE BILBAO,Cesión espacio,-€,2020
43,"MEDIA ATTACK GROUP, SL",Rodaje en Bilbao y Bizkaia de la webserie “Backstage”,-€,2020
44,ASOC. DE COMERCIANTES DE TXURDINAGA,Plan Aurrera,"14.000,00€",2020
45,ASOC. DE COMERCIANTES DE TXURDINAGA,Plan de actuación 2020,"14.000,00€",2020
46,ASOC. DE COMERCIANTES DE SANTUTXU,Plan de actuación 2020,"11.000,00€",2020
47,ASOC. DE COMERCIANTES DE SANTUTXU,Plan Aurrera,"11.000,00€",2020
48,ASOC. DE COMERCIANTES DE BASURTO,Plan de actuación 2020,"7.000,00€",2020
